Fund Code,Bookplate Program Name
AGELASTO-ER00660,Agelasto Family Library Fund for Special Collections
AMLIT-ER00651,American Literature Library Fund
ASSOCIATES-ER00570,Library Associates Endowment for Rare Books and Manuscripts
BAHN-ER00644,Gilbert Schuyler Bahn Endowed Fund
BATTESTIN-DR00516,Battestin Fund for 18th Century British Literature
BATTESTIN-ER02018,Martin C. and Ruthe R. Battestin Library Fund
BERKELEY-ER00643,Dorothy Smith Berkeley and Edmund Berkeley Natural History Endowed Fund
BICE-ER00688,"Raymond C. Bice, Jr., Library Fund"
BISHKO-DR01376,Charles Julian Bishko Library Excellence Fund
BOOKARTS-ER00700,Books Arts Press Fund for the University of Virginia Library
BYRD-ER00581,Alfred Henry Byrd Library Fund
CHAUNCEY-ER01747,Warren Fulton Chauncey Fund
CLASS-OF-30-ER00583,Class Of 1930 Library Fund
CLASS-OF-40-ER00584,Class Of 1940 Book Fund
CLASS-OF-40-SO-ER005,Class Of 1940 Book Fund
CLASS-OF-52-ER00585,Class Of 1952 Library Fund
CLASS-OF-60-ER00607,Class Of 1960 Book Fund
CLASS-OF-61-ER00608,Class Of 1961 Book
CLASS-OF-64-ER00612,Class Of 1964 Library Fund
COHN-HEMING-ER00571,Louis Henry and Marguerite A. Cohn Ernest Hemingway Memorial Collection
COLES-ER00588,E. C. Coles Library Fund
COLES-SC-ER00588,E. C. Coles Library Fund
COLES-SER-ER00588,E. C. Coles Library Fund
COLES-UPRESS-ER00588,E. C. Coles Library Fund
DARDEN-ER00586,"Colgate W. Darden, Jr. Book Fund"
DARDEN-SER-ER00586,"Colgate W. Darden, Jr. Book Fund"
DELGRECO-ER00650,Casa del Greco Library Fund
DESHAZO-ER02042,Thomas G. and Dorothy H. DeShazo Library Fund
FAULKNER-ER00624,William Faulkner Foundation Fund
FRANTZ-BRITLIT,"Ray W. Frantz, Jr. 19th Century British Literature Fund"
FRANTZ-ER00640,"Ray W. Frantz, Jr. 19th Century British Literature Fund"
GEE-ER00589,Wilson Gee Library Fund
GEE-SO-ER00589,Wilson Gee Memorial Fund
GORDON-ENGL-SO-ER005,Douglas Hamilton Gordon Library Fund
GORDON-ER00590,Douglas Hamilton Gordon Library Fund
GORDON-FREN-6-45224,Douglas Hamilton Gordon Library Fund
GORDON-HENRY-ER00633,Henry S. Gordon Book Fund
GORDON-SPAN-6-45224,Douglas Hamilton Gordon Library Fund
GUNTER-ER00654,"Bradley Hunt, Meredith Strohm, and Bradford Macon Gunter Collection of English and American Literature Fund"
HALE-FRE-APV-ER00639,Oron J. Hale Fund
HALE-GERM-ER00639,Oron J. Hale Fund
HALE-HIST-SO-ER00639,Oron J. Hale Fund
HALE-OJ-ER00639,Oron J. Hale Fund
HALE-OJ-SLAV-ER00639,Oron J. Hale Fund
HALE-SIP-APV-ER00639,Oron J. Hale Fund
HALE-WM-ER00667,William Newton Hale Library Fund for Architecture
HARRISON-ER00619,Nellie and Pinckney Harrison Fund
HATFIELD-CH-ER00629,Hatfield Chappell Fund
HELMS-ER00606,James S. Helms Memorial Fund
INTL-ST-DATA-S-ER005,International Studies Library Fund
INTL-STUDIES-ER00593,International Studies Library Fund
INTL-STU-GFA-SO-ER00,International Studies Library Fund
INTL-STU-SER-ER00593,International Studies Library Fund
KANE-ER00704,Jean S. Kane Library Fund
KERCHOF-ER01879,W. Braden and Kathryn K. Kerchof Library Fund
KINARD-ER00661,James E. Kinard Library Fund For History
KRAEHE-ER00657,Mary Alice Kraehe Memorial Fund for Books on Africa
LA-CAPLIN,Caplin Monographs and Serials
LA-CUTTS,Dorthea Lane Cutts
LA-DILL,Dillard Monographs and Serials
LA-ENDBK,Endow a book
LA-ENDOW,Endowment Monographs and Serials
LA-FARM,Farmer Monographs and Serials
LA-FOX,Fox Monographs and Serials
LA-HERD,Herd Monographs and Serials
LA-HOBB,Hobbie Monographs and Serials
LA-JEFLEG,Jefferson Legal Collection
LA-JWAT,Judge Watrous Monographs and Serials
LA-KLAUS,Klaus
LA-KLAUSAV,Klaus
LA-KLAUS-MONO,Klaus
LA-NEH,NEH Monographs and Serials
LA-PRESFOX,Preston Fox monographs and serials
LA-RITCHIE,John Ritchie Fund
LA-SHEP,Sheppe Monographs and Serials
LA-WHITE,White Monographs and Serials
LOCKE-ER00569,Charles Locke Purchase Fund
LOCKE-SER-ER00569,Charles Locke Purchase Fund
LOCKE-SO-ER00569,Charles Locke Purchase Fund
MASSEY-ER00626,Linton R. Massey Fund for the William Faulkner Collection
MCGREGOR-ER00642,Tracy W. McGregor Library Endowed Fund
MCILHENNY-ER00638,Walter S. McIlhenny Endowment
METCALF-ER00597,John C. Metcalf Memorial Fund
METCALF-SER-ER00597,John C. Metcalf Memorial Fund
MINOR-ER00649,C. Venable Minor Endowment Fund
MONTGOMERY-ER00598,Montgomery Memorial Fund
MORRIS-ER00659,William and Elizabeth Millhiser Morris Rare Books Endowment Fund
MYATT-ER00618,James A. Myatt Memorial Fund
ONEAL-FA-ER00625,William B. O'neal Book Fund
ONEAL-SC-ER00630,William B. O'neal Book Fund
PERRY-ER00572,Ellen Gilliam Perry Book Fund
PERRY-SO-ER00572,Ellen Gilliam Perry Book Fund
PRICE-TAYLOR-ER00613,Price-Taylor Library Fund
RHODODENDRON-ER00634,Middle Atlantic Chapter of American Rhododendron Society
RIBBLE-DR01375,Ribble-Henry Fielding and his Contemporaries Fund
RUNGE-103681,William H. Runge Memorial Fund for Southern History
RUNGEA-ER00568,William H. Runge Memorial Fund for Southern History
RUNGEB-EU00045,William H. Runge Memorial Fund for Southern History
RUSHTON-ER00602,Urban Joseph Peters Rushton Memorial Book Fund
SCOTT-ER00573,Marion duPont Scott Fund
SC-PRB-M,Clifton Waller Barrett Library Fund
SG-COL-DAMES-DR01374,Colonial Dames Fund
SUHLING-ER00652,"William G. Suhling, Jr., and William G. Suhling III Library Fund"
SUHLING-ER00652-BIO,"William G. Suhling, Jr., and William G. Suhling III Library Fund"
SUHLING-ER00652-PHYS,"William G. Suhling, Jr., and William G. Suhling III Library Fund"
TAYLOR-RBT-ER00609,Robert Taylor Collection Fund
TUNSTALL-ER00631,Robert and Virginia Tunstall Trust Fund
WALKER-ER00666,Elise Sieker Walker Library Fund
WEATHERLY-APV-ER0064,Weatherly Library Fund
WEATHERLY-ER00646,Weatherly Library Fund
WEBB-ER00605,R. H. Webb Book Fund
WEEDON-DR01378,Ellen Bayard Weedon Foundation Gift Fund
WYLLIE-ER00621,John Cook Wyllie Memorial Book Fund
